index,angle,X,Y,Z
1,-90,-3.544227,3.271784,-10.512911
1,90,-3.174236,0.313091,-11.004806
2,0,-3.648349,3.280272,-10.575660
2,-105,-3.489689,3.873925,-10.897521
2,105,-3.561118,3.448246,-10.666147
2,-120,-3.500068,3.842411,-10.870209
2,120,-3.607035,3.564195,-10.747017
2,-15,-2.964309,0.881402,-10.562871
2,15,-3.610669,3.297655,-10.558700
2,135,-3.630424,3.663305,-10.810164
2,-135,-3.475259,3.838479,-10.853589
2,-150,-3.461167,3.867532,-10.857837
2,150,-3.611883,3.717786,-10.840591
2,-165,-3.487823,3.856307,-10.873889
2,165,-3.572756,3.772369,-10.862040
2,180,-3.526842,3.815811,-10.871845
2,-30,-2.954998,0.903539,-10.557597
2,30,-3.591628,3.289537,-10.549361
2,-45,-2.970212,0.906105,-10.563301
2,45,-3.602941,3.273050,-10.559436
2,-60,-2.978464,0.885510,-10.580427
2,60,-3.620372,3.287242,-10.576249
2,-75,-2.937053,0.863320,-10.593493
2,75,-3.595937,3.327250,-10.589307
2,-90,-2.888284,0.830399,-10.623553
2,90,-3.570060,3.380042,-10.619136
3,0,0.081719,2.327082,-8.026511
3,-105,0.071368,2.770499,-7.844860
3,105,-1.265000,4.859251,-6.634341
3,-120,0.103755,2.794805,-7.816569
3,120,-1.217985,4.860740,-6.619260
3,-15,0.064713,2.382069,-8.018624
3,15,-1.627796,5.026027,-6.486523
3,135,-1.189237,4.874510,-6.598056
3,-135,0.138111,2.799857,-7.800440
3,-150,0.170844,2.794005,-7.793080
3,150,-1.173078,4.894496,-6.575709
3,-165,0.195742,2.786043,-7.789636
3,165,0.285129,2.760764,-7.776540
3,180,0.240914,2.774604,-7.782100
3,-30,0.041018,2.444885,-8.008288
3,30,-1.589604,4.992679,-6.531929
3,-45,0.028433,2.516907,-7.987690
3,45,-1.534629,4.959331,-6.572370
3,-60,0.026238,2.590999,-7.958294
3,60,-1.468888,4.927472,-6.604341
3,-75,0.031884,2.663071,-7.921910
3,75,-1.397520,4.897014,-6.627339
3,-90,0.046323,2.725451,-7.881914
3,90,-1.327076,4.872022,-6.637939
4,0,-1.665512,5.050820,-6.319051
4,-105,-1.763731,5.048368,-6.441366
4,105,-1.763519,5.078377,-6.268187
4,-120,-2.862871,1.980919,-7.656463
4,120,-2.933538,2.318981,-7.578364
4,-15,-1.694764,5.059077,-6.302779
4,15,-1.644524,5.036433,-6.341826
4,135,-2.930778,2.277168,-7.593744
4,-135,-2.877320,2.023293,-7.652653
4,-150,-2.893932,2.063396,-7.647141
4,150,-2.929921,2.235140,-7.607277
4,-165,-2.907987,2.102193,-7.640323
4,165,-2.927907,2.195851,-7.618636
4,180,-2.919160,2.149537,-7.630133
4,-30,-1.731001,5.059195,-6.295956
4,30,-1.634669,5.015479,-6.371270
4,-45,-1.736892,5.046767,-6.314157
