index,angle,X,Y,Z,Total_in_Debye
9,-165,-1.0305,-3.9806,-7.8963,8.9027
9,165,-2.2695,-3.1779,-7.8695,8.7852
9,180,-1.6683,-3.6306,-7.9412,8.8898
9,-30,5.6096,-1.8556,-6.1343,8.5171
9,30,-3.0522,3.7343,-7.4174,8.8475
9,-45,5.1072,-2.5072,-6.1479,8.3765
9,45,-3.3876,3.1609,-7.4661,8.7869
9,-60,4.3917,-3.1636,-6.2784,8.2894
9,60,-3.6380,2.5251,-7.4356,8.6544
9,-75,3.5183,-3.7111,-6.5214,8.2873
9,75,-3.7912,1.7488,-7.3947,8.4919
9,-90,2.5695,-4.1312,-6.8126,8.3714
9,90,-3.8421,0.8667,-7.3796,8.3649
10,0,-0.0518,-4.3962,-7.5121,8.7041
10,-105,0.4818,-4.6310,-7.3603,8.7093
10,105,-0.5983,-4.1496,-7.6819,8.7515
10,-120,-1.3655,-3.7760,-7.7237,8.7051
10,120,-0.7081,-4.1096,-7.6367,8.7011
10,-15,0.0817,-4.4368,-7.5362,8.7457
10,15,-0.1420,-4.3785,-7.5244,8.7068
10,135,-0.8060,-4.0714,-7.6509,8.7041
10,-135,-1.2668,-3.8266,-7.7642,8.7482
10,-150,-1.2017,-3.8609,-7.8251,8.8081
10,150,-0.9688,-3.9895,-7.7427,8.7638
10,-165,-1.1629,-3.8837,-7.8628,8.8464
10,165,-1.0730,-3.9271,-7.8245,8.8202
10,180,-1.1576,-3.8898,-7.8628,8.8484
10,-30,0.1625,-4.4774,-7.5818,8.8066
10,30,-0.2737,-4.3365,-7.5984,8.7530
10,-45,0.1978,-4.5097,-7.6094,8.8476
10,45,-0.4331,-4.2720,-7.6972,8.8139
10,-60,0.1860,-4.5243,-7.6056,8.8515
10,60,-0.4970,-4.2332,-7.7570,8.8509
10,-75,0.2598,-4.5526,-7.5433,8.8145
10,75,-0.5523,-4.2001,-7.7734,8.8528
10,-90,0.3587,-4.5905,-7.4485,8.7568
10,90,-0.5352,-4.1858,-7.7354,8.8115
11,0,0.7002,2.9137,0.2531,3.0073
11,-105,0.7090,2.9130,0.1713,3.0029
11,105,0.7080,2.9125,0.1578,3.0015
11,-120,0.7002,2.9225,0.1295,3.0080
11,120,0.6988,2.9184,0.2009,3.0076
11,-15,0.7087,2.9100,0.2181,3.0030
11,15,0.7083,2.9076,0.2822,3.0059
11,135,0.7087,2.9137,0.2377,3.0080
11,-135,0.7099,2.9209,0.0962,3.0075
11,-150,0.7349,2.9092,0.0860,3.0018
11,150,0.7342,2.9005,0.2417,3.0017
11,-165,0.7648,2.8926,0.1191,2.9944
11,165,0.7641,2.8870,0.2079,2.9937
11,180,0.7769,2.8835,0.1630,2.9908
11,-30,0.7311,2.9005,0.2012,2.9979
11,30,0.7327,2.8950,0.2883,3.0001
11,-45,0.7620,2.8861,0.2196,2.9931
